order_id,customer_id,product_id,quantity,unit_price,order_date,status,shipping_country
ORD-00026,CUST-1058,PROD-I9,3,34.99,2024-01-02,cancelled,AU
ORD-00027,CUST-1174,PROD-M13,3,89.99,2024-02-04,completed,UK
ORD-00028,CUST-1488,PROD-G7,2,49.95,2024-01-21,completed,AU
ORD-00029,CUST-1054,PROD-M13,2,89.99,2024-01-23,cancelled,UK
ORD-00030,CUST-1101,PROD-N14,2,14.99,2024-03-22,completed,DE
ORD-00031,CUST-1398,PROD-M13,2,89.99,2024-01-21,shipped,US
ORD-00032,CUST-1057,PROD-J10,2,12.99,2024-02-11,completed,MX
ORD-00033,CUST-1449,PROD-E5,1,199.99,2024-01-31,shipped,US
ORD-00034,CUST-1389,PROD-B2,4,149.99,2024-03-03,shipped,MX
ORD-00035,CUST-1484,PROD-C3,3,9.99,2024-01-17,shipped,US
ORD-00036,CUST-1216,PROD-E5,4,199.99,2024-03-08,completed,AU
ORD-00037,CUST-1159,PROD-M13,1,89.99,2024-03-29,pending,SE
ORD-00038,CUST-1264,PROD-K11,2,54.99,2024-02-17,pending,US
ORD-00039,CUST-1010,PROD-D4,1,74.5,2024-01-29,shipped,AU
ORD-00040,CUST-1036,PROD-D4,1,74.5,2024-03-16,cancelled,US
ORD-00041,CUST-1440,PROD-D4,5,74.5,2024-01-09,completed,US
ORD-00042,CUST-1248,PROD-I9,1,34.99,2024-01-31,completed,AU
ORD-00043,CUST-1124,PROD-C3,2,9.99,2024-03-14,pending,MX
ORD-00044,CUST-1337,PROD-G7,1,49.95,2024-01-25,pending,DE
ORD-00045,CUST-1373,PROD-G7,2,49.95,2024-02-22,completed,SE
ORD-00046,CUST-1206,PROD-K11,1,54.99,2024-03-23,completed,MX
ORD-00047,CUST-1097,PROD-N14,1,14.99,2024-01-14,shipped,JP
ORD-00048,CUST-1236,PROD-C3,1,9.99,2024-02-24,completed,US
ORD-00049,CUST-1333,PROD-H8,1,59.99,2024-03-11,shipped,US
ORD-00050,CUST-1248,PROD-B2,1,149.99,2024-01-31,pending,CA
ORD-00051,CUST-1084,PROD-N14,5,14.99,2024-02-21,pending,US
ORD-00052,CUST-1401,PROD-G7,5,49.95,2024-02-03,pending,UK
ORD-00053,CUST-1401,PROD-G7,6,49.95,2024-03-30,shipped,SE
ORD-00054,CUST-1151,PROD-L12,1,149.0,2024-03-03,completed,US
ORD-00055,CUST-1160,PROD-J10,1,12.99,2024-03-10,completed,US
ORD-00056,CUST-1436,PROD-J10,2,12.99,2024-03-02,shipped,US
ORD-00057,CUST-1095,PROD-A1,1,29.99,2024-03-06,completed,NL
ORD-00058,CUST-1206,PROD-B2,4,149.99,2024-03-27,completed,NL
ORD-00059,CUST-1317,PROD-D4,2,74.5,2024-03-15,completed,FR
ORD-00060,CUST-1161,PROD-K11,2,54.99,2024-03-15,completed,CA
ORD-00061,CUST-1202,PROD-K11,1,54.99,2024-02-10,completed,SE
ORD-00062,CUST-1475,PROD-K11,2,54.99,2024-02-08,completed,US
ORD-00063,CUST-1051,PROD-H8,10,59.99,2024-03-20,completed,AU
ORD-00064,CUST-1477,PROD-D4,1,74.5,2024-03-05,completed,US
ORD-00065,CUST-1080,PROD-O15,1,19.99,2024-02-01,pending,AU
ORD-00066,CUST-1413,PROD-L12,2,149.0,2024-02-08,cancelled,AU
ORD-00067,CUST-1153,PROD-A1,4,29.99,2024-03-26,cancelled,US
ORD-00068,CUST-1455,PROD-O15,1,19.99,2024-01-18,completed,BR
ORD-00069,CUST-1309,PROD-I9,1,34.99,2024-01-20,completed,BR
ORD-00070,CUST-1436,PROD-F6,3,39.99,2024-01-27,completed,AU
ORD-00071,CUST-1433,PROD-H8,5,59.99,2024-02-02,completed,US
ORD-00072,CUST-1022,PROD-K11,4,54.99,2024-02-24,completed,DE
ORD-00073,CUST-1134,PROD-M13,2,89.99,2024-01-17,completed,BR
ORD-00074,CUST-1287,PROD-H8,3,59.99,2024-03-11,completed,US
ORD-00075,CUST-1279,PROD-B2,5,149.99,2024-03-29,completed,DE
ORD-00076,CUST-1065,PROD-J10,1,12.99,2024-03-11,completed,UK
ORD-00077,CUST-1107,PROD-F6,5,39.99,2024-01-06,cancelled,CA
ORD-00078,CUST-1286,PROD-K11,1,54.99,2024-01-14,pending,NL
ORD-00079,CUST-1121,PROD-L12,5,149.0,2024-01-20,completed,MX
ORD-00080,CUST-1012,PROD-M13,5,89.99,2024-01-23,completed,BR
ORD-00081,CUST-1210,PROD-O15,3,19.99,2024-02-12,cancelled,BR
ORD-00082,CUST-1403,PROD-M13,1,89.99,2024-02-01,completed,FR
ORD-00083,CUST-1113,PROD-N14,4,14.99,2024-01-05,completed,JP
ORD-00084,CUST-1446,PROD-F6,4,39.99,2024-02-09,completed,CA
ORD-00085,CUST-1168,PROD-A1,1,29.99,2024-03-25,completed,US
ORD-00086,CUST-1260,PROD-M13,1,89.99,2024-02-05,pending,SE
ORD-00087,CUST-1014,PROD-N14,1,14.99,2024-03-09,completed,UK
ORD-00088,CUST-1135,PROD-C3,8,9.99,2024-03-15,completed,US
ORD-00089,CUST-1402,PROD-J10,1,12.99,2024-02-25,completed,FR
ORD-00090,CUST-1460,PROD-J10,1,12.99,2024-03-06,shipped,CA
ORD-00091,CUST-1000,PROD-E5,3,199.99,2024-01-06,shipped,MX
ORD-00092,CUST-1379,PROD-I9,3,34.99,2024-03-28,cancelled,CA
ORD-00093,CUST-1340,PROD-F6,1,39.99,2024-02-25,completed,NL
ORD-00094,CUST-1368,PROD-F6,4,39.99,2024-03-25,completed,AU
ORD-00095,CUST-1206,PROD-E5,2,199.99,2024-03-26,completed,AU
ORD-00096,CUST-1481,PROD-C3,2,9.99,2024-01-25,pending,SE
ORD-00097,CUST-1154,PROD-L12,2,149.0,2024-01-23,pending,AU
ORD-00098,CUST-1107,PROD-N14,1,14.99,2024-01-01,pending,MX
ORD-00099,CUST-1238,PROD-J10,3,12.99,2024-03-18,pending,JP
ORD-00100,CUST-1406,PROD-K11,2,54.99,2024-01-28,completed,SE
ORD-00101,CUST-1324,PROD-B2,2,149.99,2024-02-06,shipped,DE
ORD-00102,CUST-1115,PROD-B2,3,149.99,2024-01-31,completed,US
ORD-00103,CUST-1243,PROD-A1,1,29.99,2024-01-06,shipped,MX
ORD-00104,CUST-1322,PROD-B2,2,149.99,2024-02-28,shipped,CA
ORD-00105,CUST-1204,PROD-L12,1,149.0,2024-03-30,completed,US
ORD-00106,CUST-1384,PROD-K11,1,54.99,2024-03-29,completed,MX
ORD-00107,CUST-1490,PROD-G7,1,49.95,2024-01-29,shipped,JP
ORD-00108,CUST-1434,PROD-A1,1,29.99,2024-03-12,completed,JP
ORD-00109,CUST-1286,PROD-C3,3,9.99,2024-02-29,shipped,DE
ORD-00110,CUST-1368,PROD-M13,2,89.99,2024-02-26,shipped,FR
ORD-00111,CUST-1081,PROD-N14,2,14.99,2024-03-11,pending,JP
ORD-00112,CUST-1141,PROD-E5,4,199.99,2024-02-01,shipped,JP
ORD-00113,CUST-1039,PROD-K11,1,54.99,2024-01-31,completed,CA
ORD-00114,CUST-1276,PROD-E5,1,199.99,2024-02-12,completed,US
ORD-00115,CUST-1078,PROD-C3,1,9.99,2024-01-30,completed,US
ORD-00116,CUST-1238,PROD-G7,1,49.95,2024-02-22,pending,US
ORD-00117,CUST-1394,PROD-D4,1,74.5,2024-02-23,shipped,BR
ORD-00118,CUST-1003,PROD-A1,1,29.99,2024-03-14,completed,UK
ORD-00119,CUST-1488,PROD-M13,4,89.99,2024-02-19,pending,AU
ORD-00120,CUST-1459,PROD-L12,3,149.0,2024-03-10,completed,JP
ORD-00121,CUST-1014,PROD-D4,2,74.5,2024-02-04,pending,DE
ORD-00122,CUST-1370,PROD-K11,3,54.99,2024-03-27,completed,JP
ORD-00123,CUST-1273,PROD-O15,10,19.99,2024-01-17,completed,FR
ORD-00124,CUST-1042,PROD-J10,3,12.99,2024-03-13,cancelled,FR
ORD-00125,CUST-1133,PROD-C3,1,9.99,2024-02-29,pending,DE
ORD-00126,CUST-1389,PROD-D4,1,74.5,2024-02-28,pending,UK
ORD-00127,CUST-1041,PROD-M13,1,89.99,2024-02-23,pending,US
ORD-00128,CUST-1487,PROD-L12,1,149.0,2024-03-10,completed,CA
ORD-00129,CUST-1333,PROD-K11,3,54.99,2024-01-09,completed,MX
ORD-00130,CUST-1010,PROD-A1,1,29.99,2024-02-01,shipped,US
ORD-00131,CUST-1058,PROD-D4,2,74.5,2024-01-17,shipped,CA
ORD-00132,CUST-1188,PROD-H8,1,59.99,2024-03-30,completed,NL
ORD-00133,CUST-1083,PROD-J10,3,12.99,2024-01-15,completed,US
ORD-00134,CUST-1294,PROD-J10,5,12.99,2024-01-04,cancelled,FR
ORD-00135,CUST-1353,PROD-G7,1,49.95,2024-01-26,cancelled,CA
ORD-00136,CUST-1435,PROD-B2,3,149.99,2024-03-30,cancelled,NL
ORD-00137,CUST-1289,PROD-M13,3,89.99,2024-01-16,completed,DE
ORD-00138,CUST-1035,PROD-I9,3,34.99,2024-02-24,shipped,SE
ORD-00139,CUST-1421,PROD-F6,4,39.99,2024-01-02,pending,US
ORD-00140,CUST-1424,PROD-G7,2,49.95,2024-02-16,pending,BR
ORD-00141,CUST-1267,PROD-C3,1,9.99,2024-02-25,cancelled,UK
ORD-00142,CUST-1238,PROD-J10,3,12.99,2024-03-09,pending,BR
ORD-00143,CUST-1125,PROD-J10,1,12.99,2024-02-04,completed,UK
ORD-00144,CUST-1237,PROD-O15,1,19.99,2024-02-27,shipped,NL
ORD-00145,CUST-1253,PROD-K11,1,54.99,2024-02-18,completed,US
ORD-00146,CUST-1132,PROD-H8,1,59.99,2024-01-28,completed,UK
ORD-00147,CUST-1141,PROD-O15,3,19.99,2024-03-17,shipped,US
ORD-00148,CUST-1368,PROD-I9,1,34.99,2024-01-25,pending,JP
ORD-00149,CUST-1330,PROD-I9,3,34.99,2024-01-31,pending,JP
ORD-00150,CUST-1113,PROD-M13,1,89.99,2024-01-03,pending,BR
ORD-00151,CUST-1188,PROD-D4,3,74.5,2024-02-09,pending,AU
ORD-00152,CUST-1381,PROD-I9,2,34.99,2024-02-14,shipped,DE
ORD-00153,CUST-1156,PROD-F6,2,39.99,2024-03-30,completed,CA
ORD-00154,CUST-1380,PROD-B2,1,149.99,2024-01-25,shipped,MX
ORD-00155,CUST-1378,PROD-L12,1,149.0,2024-01-24,pending,UK
ORD-00156,CUST-1268,PROD-L12,8,149.0,2024-03-16,shipped,UK
ORD-00157,CUST-1184,PROD-B2,1,149.99,2024-01-25,completed,UK
ORD-00158,CUST-1023,PROD-A1,1,29.99,2024-03-09,completed,AU
ORD-00159,CUST-1326,PROD-E5,6,199.99,2024-03-30,pending,US
ORD-00160,CUST-1240,PROD-N14,2,14.99,2024-01-02,pending,JP
ORD-00161,CUST-1129,PROD-F6,8,39.99,2024-01-24,pending,US
ORD-00162,CUST-1037,PROD-N14,2,14.99,2024-01-09,shipped,SE
ORD-00163,CUST-1415,PROD-K11,1,54.99,2024-01-07,shipped,UK
ORD-00164,CUST-1391,PROD-B2,1,149.99,2024-02-01,pending,NL
ORD-00165,CUST-1267,PROD-J10,1,12.99,2024-03-20,pending,JP
ORD-00166,CUST-1301,PROD-O15,1,19.99,2024-02-26,pending,UK
ORD-00167,CUST-1491,PROD-J10,1,12.99,2024-03-20,completed,MX
ORD-00168,CUST-1338,PROD-D4,1,74.5,2024-03-21,completed,US
ORD-00169,CUST-1080,PROD-D4,2,74.5,2024-01-23,completed,FR
ORD-00170,CUST-1149,PROD-H8,2,59.99,2024-03-29,completed,CA
ORD-00171,CUST-1232,PROD-E5,3,199.99,2024-02-06,completed,SE
ORD-00172,CUST-1320,PROD-D4,3,74.5,2024-02-03,shipped,SE
ORD-00173,CUST-1278,PROD-M13,2,89.99,2024-01-26,completed,SE
ORD-00174,CUST-1036,PROD-C3,4,9.99,2024-02-04,completed,US
ORD-00175,CUST-1422,PROD-M13,2,89.99,2024-02-09,shipped,UK
ORD-00176,CUST-1155,PROD-H8,2,59.99,2024-01-16,pending,UK
ORD-00177,CUST-1041,PROD-I9,2,34.99,2024-03-10,shipped,US
ORD-00178,CUST-1309,PROD-O15,3,19.99,2024-02-25,completed,US
ORD-00179,CUST-1428,PROD-B2,8,149.99,2024-01-30,shipped,NL
ORD-00180,CUST-1295,PROD-A1,4,29.99,2024-03-27,completed,MX
ORD-00181,CUST-1333,PROD-M13,2,89.99,2024-01-23,pending,UK
ORD-00182,CUST-1416,PROD-C3,2,9.99,2024-03-15,pending,US
ORD-00183,CUST-1164,PROD-H8,2,59.99,2024-02-14,cancelled,US
ORD-00184,CUST-1355,PROD-N14,1,14.99,2024-01-21,pending,UK
ORD-00185,CUST-1281,PROD-K11,4,54.99,2024-02-21,completed,JP
ORD-00186,CUST-1059,PROD-B2,1,149.99,2024-02-10,pending,AU
ORD-00187,CUST-1277,PROD-N14,3,14.99,2024-01-01,pending,FR
ORD-00188,CUST-1318,PROD-A1,2,29.99,2024-01-25,pending,SE
ORD-00189,CUST-1281,PROD-H8,1,59.99,2024-01-07,completed,UK
ORD-00190,CUST-1014,PROD-H8,2,59.99,2024-03-30,cancelled,NL
ORD-00191,CUST-1159,PROD-M13,3,89.99,2024-01-31,shipped,US
ORD-00192,CUST-1430,PROD-I9,1,34.99,2024-02-22,completed,JP
ORD-00193,CUST-1255,PROD-B2,4,149.99,2024-03-23,completed,AU
ORD-00194,CUST-1247,PROD-L12,2,149.0,2024-02-04,pending,CA
ORD-00195,CUST-1097,PROD-H8,1,59.99,2024-03-11,shipped,AU
ORD-00196,CUST-1141,PROD-L12,4,149.0,2024-01-18,pending,DE
ORD-00197,CUST-1001,PROD-O15,1,19.99,2024-03-05,completed,BR
ORD-00198,CUST-1337,PROD-E5,2,199.99,2024-03-16,pending,US
ORD-00199,CUST-1170,PROD-H8,2,59.99,2024-03-09,shipped,MX
ORD-00200,CUST-1164,PROD-I9,2,34.99,2024-02-18,completed,BR
ORD-00201,CUST-1438,PROD-D4,1,74.5,2024-03-14,pending,US
ORD-00202,CUST-1415,PROD-F6,3,39.99,2024-03-01,pending,FR
ORD-00203,CUST-1253,PROD-K11,10,54.99,2024-03-24,completed,US
ORD-00204,CUST-1051,PROD-I9,1,34.99,2024-03-16,pending,US
ORD-00205,CUST-1073,PROD-I9,1,34.99,2024-02-28,pending,SE
ORD-00206,CUST-1496,PROD-C3,2,9.99,2024-01-10,completed,DE
ORD-00207,CUST-1041,PROD-J10,1,12.99,2024-03-29,completed,SE
ORD-00208,CUST-1162,PROD-N14,1,14.99,2024-03-09,cancelled,BR
ORD-00209,CUST-1018,PROD-O15,4,19.99,2024-03-03,shipped,US
ORD-00210,CUST-1147,PROD-D4,3,74.5,2024-03-21,completed,BR
ORD-00211,CUST-1389,PROD-B2,8,149.99,2024-02-25,cancelled,BR
ORD-00212,CUST-1355,PROD-N14,2,14.99,2024-01-13,completed,US
ORD-00213,CUST-1150,PROD-A1,3,29.99,2024-02-11,completed,DE
ORD-00214,CUST-1210,PROD-G7,1,49.95,2024-01-19,shipped,SE
ORD-00215,CUST-1040,PROD-M13,1,89.99,2024-01-24,shipped,FR
ORD-00216,CUST-1467,PROD-J10,1,12.99,2024-03-28,shipped,US
ORD-00217,CUST-1235,PROD-D4,2,74.5,2024-02-29,completed,SE
ORD-00218,CUST-1346,PROD-A1,5,29.99,2024-02-29,shipped,US
ORD-00219,CUST-1300,PROD-B2,6,149.99,2024-02-26,completed,SE
ORD-00220,CUST-1432,PROD-G7,1,49.95,2024-03-29,completed,CA
ORD-00221,CUST-1195,PROD-G7,1,49.95,2024-03-02,shipped,DE
ORD-00222,CUST-1151,PROD-J10,10,12.99,2024-02-07,completed,SE
ORD-00223,CUST-1442,PROD-G7,1,49.95,2024-02-05,cancelled,MX
ORD-00224,CUST-1381,PROD-L12,5,149.0,2024-01-07,pending,UK
ORD-00225,CUST-1180,PROD-M13,2,89.99,2024-01-30,completed,SE
ORD-00226,CUST-1386,PROD-D4,1,74.5,2024-03-20,cancelled,SE
ORD-00227,CUST-1462,PROD-N14,2,14.99,2024-01-18,cancelled,SE
ORD-00228,CUST-1017,PROD-A1,3,29.99,2024-02-09,shipped,DE
ORD-00229,CUST-1151,PROD-L12,1,149.0,2024-01-17,completed,BR
ORD-00230,CUST-1402,PROD-G7,1,49.95,2024-01-23,shipped,DE
ORD-00231,CUST-1425,PROD-I9,5,34.99,2024-03-05,completed,UK
ORD-00232,CUST-1151,PROD-O15,8,19.99,2024-03-02,completed,MX
ORD-00233,CUST-1072,PROD-B2,8,149.99,2024-02-29,completed,SE
ORD-00234,CUST-1495,PROD-L12,8,149.0,2024-03-27,shipped,DE
ORD-00235,CUST-1274,PROD-B2,1,149.99,2024-02-20,completed,JP
ORD-00236,CUST-1134,PROD-F6,3,39.99,2024-03-27,shipped,FR
ORD-00237,CUST-1055,PROD-N14,6,14.99,2024-03-22,cancelled,CA
ORD-00238,CUST-1482,PROD-H8,2,59.99,2024-01-04,shipped,DE
ORD-00239,CUST-1032,PROD-O15,1,19.99,2024-03-19,cancelled,JP
ORD-00240,CUST-1209,PROD-O15,1,19.99,2024-03-30,completed,US
ORD-00241,CUST-1252,PROD-A1,1,29.99,2024-01-05,completed,US
ORD-00242,CUST-1232,PROD-D4,1,74.5,2024-03-09,completed,SE
ORD-00243,CUST-1214,PROD-L12,6,149.0,2024-03-30,shipped,BR
ORD-00244,CUST-1335,PROD-L12,5,149.0,2024-01-20,completed,JP
ORD-00245,CUST-1143,PROD-J10,6,12.99,2024-02-22,completed,BR
ORD-00246,CUST-1486,PROD-F6,2,39.99,2024-01-28,completed,DE
ORD-00247,CUST-1461,PROD-B2,1,149.99,2024-03-28,cancelled,DE
ORD-00248,CUST-1495,PROD-A1,1,29.99,2024-02-20,completed,JP
ORD-00249,CUST-1327,PROD-B2,1,149.99,2024-03-25,shipped,US
ORD-00250,CUST-1064,PROD-A1,1,29.99,2024-02-12,shipped,CA
ORD-00251,CUST-1110,PROD-B2,1,149.99,2024-03-11,completed,DE
ORD-00252,CUST-1305,PROD-M13,3,89.99,2024-01-19,completed,UK
ORD-00253,CUST-1276,PROD-N14,10,14.99,2024-01-19,completed,MX
ORD-00254,CUST-1013,PROD-C3,3,9.99,2024-01-15,completed,US
ORD-00255,CUST-1008,PROD-F6,2,39.99,2024-01-31,completed,UK
ORD-00256,CUST-1269,PROD-A1,3,29.99,2024-01-17,completed,BR
ORD-00257,CUST-1185,PROD-B2,2,149.99,2024-03-01,shipped,NL
ORD-00258,CUST-1484,PROD-B2,2,149.99,2024-02-27,shipped,US
ORD-00259,CUST-1234,PROD-L12,2,149.0,2024-03-25,cancelled,US
ORD-00260,CUST-1218,PROD-A1,4,29.99,2024-03-02,cancelled,US
ORD-00261,CUST-1041,PROD-H8,1,59.99,2024-02-26,completed,NL
ORD-00262,CUST-1319,PROD-C3,1,9.99,2024-01-09,cancelled,NL
ORD-00263,CUST-1305,PROD-I9,1,34.99,2024-02-11,shipped,UK
ORD-00264,CUST-1050,PROD-H8,2,59.99,2024-03-05,completed,SE
ORD-00265,CUST-1110,PROD-K11,3,54.99,2024-03-11,pending,JP
ORD-00266,CUST-1423,PROD-O15,2,19.99,2024-01-30,pending,FR
ORD-00267,CUST-1160,PROD-G7,1,49.95,2024-01-13,cancelled,UK
ORD-00268,CUST-1242,PROD-F6,3,39.99,2024-01-20,completed,US
ORD-00269,CUST-1049,PROD-N14,1,14.99,2024-01-11,completed,MX
ORD-00270,CUST-1489,PROD-C3,1,9.99,2024-03-12,shipped,AU
ORD-00271,CUST-1181,PROD-F6,1,39.99,2024-03-26,cancelled,MX
ORD-00272,CUST-1307,PROD-G7,8,49.95,2024-01-07,completed,DE
ORD-00273,CUST-1079,PROD-B2,2,149.99,2024-03-14,cancelled,JP
ORD-00274,CUST-1284,PROD-D4,1,74.5,2024-01-14,completed,US
ORD-00275,CUST-1413,PROD-M13,2,89.99,2024-02-05,pending,AU
ORD-00276,CUST-1329,PROD-M13,2,89.99,2024-03-20,shipped,US
ORD-00277,CUST-1136,PROD-J10,4,12.99,2024-03-25,completed,US
ORD-00278,CUST-1471,PROD-E5,3,199.99,2024-03-30,completed,DE
ORD-00279,CUST-1289,PROD-A1,4,29.99,2024-01-24,cancelled,FR
ORD-00280,CUST-1497,PROD-B2,3,149.99,2024-01-19,completed,US
ORD-00281,CUST-1214,PROD-L12,1,149.0,2024-03-08,pending,DE
ORD-00282,CUST-1166,PROD-C3,1,9.99,2024-02-17,shipped,NL
ORD-00283,CUST-1386,PROD-B2,1,149.99,2024-01-07,shipped,US
ORD-00284,CUST-1338,PROD-K11,1,54.99,2024-01-11,pending,JP
ORD-00285,CUST-1110,PROD-J10,2,12.99,2024-02-26,shipped,US
ORD-00286,CUST-1347,PROD-F6,1,39.99,2024-02-25,cancelled,NL
ORD-00287,CUST-1023,PROD-H8,3,59.99,2024-03-08,completed,FR
ORD-00288,CUST-1154,PROD-J10,1,12.99,2024-01-08,completed,MX
ORD-00289,CUST-1061,PROD-C3,1,9.99,2024-02-02,completed,JP
ORD-00290,CUST-1194,PROD-L12,1,149.0,2024-02-25,shipped,BR
ORD-00291,CUST-1342,PROD-D4,2,74.5,2024-03-05,completed,US
ORD-00292,CUST-1235,PROD-G7,2,49.95,2024-01-06,completed,DE
ORD-00293,CUST-1363,PROD-J10,2,12.99,2024-02-24,cancelled,FR
ORD-00294,CUST-1494,PROD-E5,2,199.99,2024-01-15,completed,US
ORD-00295,CUST-1353,PROD-M13,2,89.99,2024-03-20,completed,US
ORD-00296,CUST-1301,PROD-G7,1,49.95,2024-01-14,pending,AU
ORD-00297,CUST-1381,PROD-B2,4,149.99,2024-02-20,completed,CA
ORD-00298,CUST-1324,PROD-F6,1,39.99,2024-01-22,completed,AU
ORD-00299,CUST-1178,PROD-I9,5,34.99,2024-01-25,completed,BR
ORD-00300,CUST-1120,PROD-N14,4,14.99,2024-03-23,completed,US
ORD-00301,CUST-1078,PROD-E5,1,199.99,2024-01-26,cancelled,US
ORD-00302,CUST-1386,PROD-C3,2,9.99,2024-03-21,shipped,MX
ORD-00303,CUST-1451,PROD-J10,3,12.99,2024-02-27,shipped,SE
ORD-00304,CUST-1497,PROD-K11,1,54.99,2024-03-20,cancelled,DE
ORD-00305,CUST-1226,PROD-C3,1,9.99,2024-02-26,cancelled,UK
ORD-00306,CUST-1180,PROD-M13,2,89.99,2024-02-05,shipped,US
ORD-00307,CUST-1029,PROD-E5,2,199.99,2024-02-29,completed,UK
ORD-00308,CUST-1437,PROD-B2,4,149.99,2024-03-23,completed,NL
ORD-00309,CUST-1297,PROD-J10,1,12.99,2024-03-05,shipped,MX
ORD-00310,CUST-1414,PROD-L12,2,149.0,2024-01-06,shipped,SE
ORD-00311,CUST-1256,PROD-D4,2,74.5,2024-02-11,completed,US
ORD-00312,CUST-1428,PROD-H8,4,59.99,2024-01-14,completed,BR
ORD-00313,CUST-1020,PROD-B2,2,149.99,2024-03-05,completed,BR
ORD-00314,CUST-1312,PROD-H8,2,59.99,2024-02-26,completed,DE
ORD-00315,CUST-1396,PROD-F6,1,39.99,2024-02-06,completed,SE
ORD-00316,CUST-1331,PROD-J10,3,12.99,2024-01-07,completed,US
ORD-00317,CUST-1197,PROD-F6,2,39.99,2024-01-13,completed,UK
ORD-00318,CUST-1308,PROD-L12,8,149.0,2024-03-25,completed,DE
ORD-00319,CUST-1469,PROD-B2,3,149.99,2024-03-15,completed,UK
ORD-00320,CUST-1066,PROD-K11,3,54.99,2024-03-30,shipped,BR
ORD-00321,CUST-1329,PROD-B2,2,149.99,2024-02-09,completed,US
ORD-00322,CUST-1378,PROD-K11,4,54.99,2024-03-30,cancelled,AU
ORD-00323,CUST-1260,PROD-B2,3,149.99,2024-03-23,completed,US
ORD-00324,CUST-1109,PROD-F6,1,39.99,2024-02-09,completed,MX
ORD-00325,CUST-1070,PROD-H8,1,59.99,2024-01-25,completed,US
ORD-00326,CUST-1276,PROD-E5,2,199.99,2024-01-13,shipped,US
ORD-00327,CUST-1316,PROD-K11,4,54.99,2024-02-13,completed,NL
ORD-00328,CUST-1425,PROD-G7,1,49.95,2024-01-20,shipped,MX
ORD-00329,CUST-1022,PROD-O15,3,19.99,2024-01-22,pending,DE
ORD-00330,CUST-1312,PROD-K11,8,54.99,2024-01-31,completed,MX
ORD-00331,CUST-1122,PROD-L12,1,149.0,2024-02-27,completed,MX
ORD-00332,CUST-1099,PROD-M13,5,89.99,2024-03-01,completed,SE
ORD-00333,CUST-1144,PROD-J10,2,12.99,2024-02-26,pending,AU
ORD-00334,CUST-1418,PROD-I9,8,34.99,2024-02-23,completed,MX
ORD-00335,CUST-1026,PROD-J10,4,12.99,2024-01-18,cancelled,JP
ORD-00336,CUST-1052,PROD-N14,2,14.99,2024-02-17,shipped,US
ORD-00337,CUST-1139,PROD-E5,3,199.99,2024-01-11,pending,AU
ORD-00338,CUST-1466,PROD-C3,1,9.99,2024-02-25,completed,JP
ORD-00339,CUST-1212,PROD-O15,6,19.99,2024-02-14,completed,FR
ORD-00340,CUST-1041,PROD-I9,1,34.99,2024-02-17,completed,CA
ORD-00341,CUST-1429,PROD-A1,6,29.99,2024-02-10,cancelled,DE
ORD-00342,CUST-1146,PROD-M13,1,89.99,2024-01-19,pending,BR
ORD-00343,CUST-1240,PROD-N14,3,14.99,2024-01-18,pending,NL
ORD-00344,CUST-1110,PROD-A1,1,29.99,2024-01-11,completed,AU
ORD-00345,CUST-1056,PROD-L12,2,149.0,2024-03-18,completed,CA
ORD-00346,CUST-1214,PROD-E5,1,199.99,2024-01-16,cancelled,MX
